temperature,pressure,vibration,speed,label
89.28,183.17,17.78,121.15,Novel/Unusual
26.01,105.59,3.04,56.03,Normal
27.54,93.35,4.39,42.7,Normal
24.59,98.35,1.02,66.38,Normal
25.35,101.7,1.76,69.54,Normal
28.27,93.38,4.73,53.23,Normal
20.72,108.66,2.13,55.38,Normal
26.17,109.71,1.22,60.42,Normal
29.76,107.76,2.78,68.19,Normal
20.51,106.41,2.99,63.76,Normal
27.0,105.92,3.74,41.92,Normal
20.88,105.56,2.34,63.95,Normal
22.85,96.29,4.57,44.78,Normal
27.99,103.38,4.17,41.88,Normal
21.0,99.98,4.36,68.04,Normal
27.25,99.52,2.57,47.41,Normal
25.53,105.5,2.68,53.18,Normal
28.23,96.29,3.56,61.16,Normal
29.36,99.93,1.75,43.36,Normal
27.02,94.73,3.37,50.2,Normal
24.32,90.46,3.46,57.22,Normal
24.68,94.61,4.99,42.55,Normal
26.52,101.33,3.62,68.6,Normal
26.01,99.95,1.39,44.9,Normal
24.5,100.59,4.57,53.74,Normal
25.99,104.98,1.16,53.83,Normal
27.21,97.39,4.32,41.05,Normal
24.06,104.4,2.51,46.23,Normal
26.03,95.15,3.33,52.47,Normal
23.39,104.96,4.21,49.67,Normal
21.65,100.63,1.13,51.68,Normal
21.09,103.07,4.38,67.57,Normal
28.33,107.21,1.46,49.1,Normal
25.81,103.05,3.13,53.26,Normal
21.02,94.55,4.44,54.49,Normal
26.0,108.91,2.72,42.86,Normal
26.16,97.94,1.1,40.79,Normal
25.55,97.36,2.31,58.33,Normal
70.47,171.2,17.15,121.27,Novel/Unusual
27.1,103.12,1.93,59.47,Normal
20.19,104.88,4.28,50.5,Normal
28.86,102.36,4.17,43.48,Normal
25.78,92.54,3.66,48.76,Normal
21.17,101.58,2.83,63.72,Normal
21.48,107.98,2.47,42.57,Normal
22.07,96.61,3.57,67.84,Normal
20.57,102.68,3.29,49.71,Normal
27.86,100.35,1.29,52.95,Normal
26.72,105.49,2.92,63.23,Normal
25.56,106.44,1.64,60.96,Normal
28.51,108.72,1.68,50.58,Normal
25.88,90.7,1.6,40.79,Normal
20.05,98.1,2.61,59.25,Normal
27.73,90.62,3.98,59.28,Normal
23.39,91.1,2.51,48.2,Normal
21.32,108.54,3.99,41.73,Normal
29.1,97.15,1.57,42.59,Normal
27.72,96.67,3.74,55.74,Normal
20.58,109.12,3.37,63.6,Normal
20.07,99.35,4.53,66.37,Normal
26.88,98.44,4.31,48.6,Normal
25.31,92.55,1.94,56.73,Normal
27.84,106.93,1.93,67.78,Normal
20.55,101.35,1.36,54.38,Normal
21.73,96.21,3.19,69.98,Normal
26.34,94.38,1.36,58.26,Normal
25.65,105.11,2.52,67.5,Normal
24.55,107.53,2.15,62.36,Normal
22.0,106.46,1.71,47.33,Normal
27.84,98.06,1.86,60.92,Normal
24.39,107.21,1.59,69.38,Normal
25.36,92.31,4.58,50.62,Normal
25.55,109.9,4.32,67.96,Normal
21.63,107.3,4.27,60.17,Normal
23.14,94.52,3.22,56.82,Normal
28.01,101.09,2.48,56.6,Normal
24.18,109.51,4.05,50.54,Normal
26.75,102.79,4.28,55.12,Normal
23.47,106.87,2.69,58.19,Normal
28.74,92.7,4.01,55.58,Normal
24.17,98.03,2.82,68.93,Normal
20.36,105.2,1.91,49.21,Normal
28.02,107.46,3.53,56.93,Normal
27.74,100.62,3.33,51.41,Normal
23.79,93.41,1.46,42.89,Normal
27.92,94.49,3.46,54.95,Normal
20.8,102.62,2.62,43.31,Normal
29.79,100.57,4.55,65.53,Normal
23.88,101.86,3.34,67.67,Normal
26.11,91.55,3.41,65.46,Normal
29.97,107.49,2.74,41.12,Normal
22.56,106.65,2.12,54.23,Normal
24.94,96.44,2.58,64.59,Normal
20.12,109.64,2.2,43.45,Normal
26.56,91.94,1.13,68.79,Normal
21.81,97.42,3.57,55.7,Normal
24.81,105.12,3.38,62.54,Normal
21.52,91.83,1.35,69.6,Normal
21.0,98.93,1.18,60.94,Normal
28.93,100.33,1.8,41.93,Normal
26.81,93.44,2.41,45.71,Normal
28.81,102.53,3.32,61.51,Normal
24.37,98.99,3.04,61.27,Normal
20.52,96.41,3.26,45.19,Normal
29.25,108.25,3.06,48.35,Normal
27.79,92.0,1.47,40.02,Normal
26.06,109.49,2.05,61.12,Normal
28.04,93.86,3.82,66.01,Normal
24.73,101.72,4.92,56.89,Normal
20.52,106.18,1.32,61.3,Normal
24.99,96.17,3.02,56.88,Normal
20.23,104.9,4.13,47.24,Normal
20.42,98.9,1.23,68.28,Normal
25.55,109.62,2.69,48.36,Normal
21.54,100.64,1.07,55.87,Normal
28.49,101.27,2.89,65.07,Normal
28.31,106.42,1.86,53.42,Normal
21.18,107.56,1.8,50.66,Normal
28.59,92.7,4.35,57.22,Normal
29.53,107.7,3.02,47.04,Normal
25.61,98.04,1.58,63.97,Normal
24.87,94.8,2.14,63.73,Normal
29.36,93.53,4.42,57.12,Normal
27.61,105.55,2.77,59.83,Normal
24.9,100.46,4.53,69.93,Normal
26.35,105.6,1.54,55.19,Normal
22.34,100.63,2.48,60.22,Normal
27.65,101.65,1.18,69.65,Normal
25.85,91.8,1.56,60.38,Normal
20.18,92.74,4.06,56.4,Normal
22.67,98.2,1.17,54.19,Normal
23.18,90.54,4.5,64.48,Normal
29.33,93.51,3.02,62.83,Normal
23.01,97.89,2.1,40.49,Normal
25.42,109.7,4.82,64.53,Normal
27.37,106.01,3.39,40.99,Normal
25.81,108.48,2.38,42.99,Normal
90.48,157.12,16.1,148.98,Novel/Unusual
20.05,99.91,3.33,60.05,Normal
26.62,96.37,2.05,61.18,Normal
28.33,105.02,2.82,69.44,Normal
27.42,95.79,1.35,54.4,Normal
20.96,100.84,1.61,47.44,Normal
21.92,106.3,1.44,40.21,Normal
24.59,108.44,3.2,69.04,Normal
28.79,90.48,2.3,64.12,Normal
27.35,92.35,3.91,57.37,Normal
29.3,98.25,3.26,47.39,Normal
91.16,170.0,16.37,122.66,Novel/Unusual
27.78,96.43,1.9,43.55,Normal
29.41,100.87,2.67,43.05,Normal
28.36,99.51,4.02,48.06,Normal
27.05,91.34,3.87,65.99,Normal
21.24,99.54,3.19,49.31,Normal
29.09,93.71,2.18,49.9,Normal
21.6,95.38,2.86,61.13,Normal
20.84,99.02,2.47,44.3,Normal
20.07,99.17,1.05,67.94,Normal
28.37,98.76,2.19,54.42,Normal
23.14,98.7,1.95,60.82,Normal
20.97,96.06,2.15,68.2,Normal
29.19,91.02,4.41,68.95,Normal
29.21,95.41,4.52,53.54,Normal
25.36,91.48,4.96,43.86,Normal
29.95,93.24,4.55,61.33,Normal
20.18,102.85,1.31,54.2,Normal
23.96,95.21,3.22,52.77,Normal
20.15,104.44,1.27,44.05,Normal
26.12,108.31,4.34,54.91,Normal
28.28,101.09,3.4,67.92,Normal
21.85,107.02,2.98,64.37,Normal
23.17,93.15,1.03,47.28,Normal
23.67,93.09,3.37,41.72,Normal
28.38,109.87,1.55,42.83,Normal
26.71,90.53,3.03,40.39,Normal
21.67,108.14,1.97,66.46,Normal
24.71,101.99,2.67,44.48,Normal
27.74,95.93,1.05,46.26,Normal
20.53,107.89,3.01,49.94,Normal
24.16,91.98,1.68,62.83,Normal
29.31,97.85,3.79,50.55,Normal
24.66,106.54,4.86,67.85,Normal
29.8,109.29,2.96,41.86,Normal
28.75,108.71,2.03,60.67,Normal
26.44,92.64,4.62,49.53,Normal
25.19,91.9,3.72,47.62,Normal
23.34,104.87,3.89,48.42,Normal
26.02,109.24,1.41,67.21,Normal
27.34,99.22,4.35,63.79,Normal
29.56,105.05,1.77,61.71,Normal
24.83,107.66,3.89,59.77,Normal
93.06,168.53,18.27,147.69,Novel/Unusual
22.38,106.29,4.8,59.35,Normal
24.48,102.76,3.29,67.81,Normal
21.05,101.0,1.42,69.54,Normal
23.73,95.36,1.07,56.89,Normal
24.35,100.02,4.91,48.01,Normal
27.18,94.26,2.58,62.66,Normal
27.01,91.78,4.31,51.43,Normal
26.31,99.62,2.53,56.86,Normal
23.77,102.04,1.2,52.94,Normal
26.86,101.29,2.23,49.0,Normal
20.37,108.66,1.36,60.95,Normal
23.74,95.78,4.08,47.73,Normal
20.49,102.13,4.83,61.0,Normal
23.77,91.9,3.77,69.25,Normal
24.08,90.77,4.98,62.96,Normal
21.48,107.58,1.15,64.24,Normal
20.9,102.37,2.54,42.15,Normal
20.58,103.2,1.7,41.8,Normal
25.79,102.51,2.76,57.77,Normal
29.82,96.28,4.28,49.84,Normal
74.13,151.41,22.12,106.49,Novel/Unusual
26.37,92.02,4.89,66.95,Normal
27.79,95.67,1.46,55.54,Normal
21.77,96.41,2.66,47.71,Normal
27.77,92.79,4.06,62.9,Normal
23.65,100.16,3.9,52.73,Normal
24.59,91.89,3.0,40.77,Normal
29.99,93.27,4.59,41.29,Normal
24.46,103.11,2.36,64.45,Normal
22.96,100.11,1.89,42.55,Normal
25.01,92.52,1.6,40.34,Normal
20.95,97.83,1.55,61.81,Normal
93.85,196.45,22.47,149.52,Novel/Unusual
28.46,98.8,3.72,68.84,Normal
27.6,104.98,4.31,46.79,Normal
27.82,105.26,1.21,63.47,Normal
25.98,93.53,4.69,50.93,Normal
26.54,102.27,2.68,63.69,Normal
23.02,90.4,2.9,48.51,Normal
29.27,98.69,1.71,55.76,Normal
28.25,98.5,3.91,50.37,Normal
26.41,94.56,2.29,56.7,Normal
23.12,94.24,1.71,58.31,Normal
27.0,105.87,2.66,58.53,Normal
22.88,101.79,3.61,55.22,Normal
28.08,105.81,4.88,42.75,Normal
26.26,100.74,1.76,57.69,Normal
23.95,100.31,3.59,68.86,Normal
26.34,105.04,1.85,62.7,Normal
23.31,91.88,2.58,44.3,Normal
29.09,103.36,4.37,44.61,Normal
22.39,103.03,1.84,54.5,Normal
28.92,103.05,2.21,58.07,Normal
22.71,106.69,3.89,54.61,Normal
21.43,94.29,1.7,45.66,Normal
27.44,108.56,1.65,59.15,Normal
29.35,99.01,3.55,57.21,Normal
20.67,99.59,1.1,41.46,Normal
29.92,103.72,1.75,65.79,Normal
24.54,102.14,1.16,56.69,Normal
28.77,109.87,4.49,49.81,Normal
20.78,109.17,4.95,45.29,Normal
87.03,173.5,22.67,115.78,Novel/Unusual
26.35,109.66,1.02,61.15,Normal
24.79,109.31,3.82,43.0,Normal
89.98,190.21,27.19,149.45,Novel/Unusual
23.22,109.68,2.68,43.9,Normal
21.05,99.72,2.1,59.39,Normal
21.66,107.94,2.75,53.18,Normal
26.14,108.66,4.51,42.42,Normal
22.27,99.64,1.81,43.72,Normal
28.49,92.56,4.59,60.34,Normal
20.49,107.51,1.42,45.97,Normal
26.63,95.15,2.12,64.47,Normal
27.49,109.84,1.12,51.34,Normal
84.11,173.18,15.54,111.71,Novel/Unusual
29.71,92.38,2.91,40.61,Normal
27.64,101.95,4.64,40.11,Normal
28.07,90.09,1.17,58.28,Normal
27.31,98.82,4.68,62.75,Normal
21.37,99.24,2.19,45.85,Normal
27.72,90.72,2.51,41.01,Normal
21.51,109.21,3.88,65.03,Normal
26.78,93.07,2.34,54.61,Normal
21.44,93.07,4.75,63.49,Normal
29.25,107.8,3.48,53.26,Normal
23.81,103.26,1.28,45.06,Normal
25.86,94.31,2.09,55.18,Normal
20.31,90.81,2.89,41.03,Normal
29.86,101.04,2.47,56.57,Normal
25.71,94.28,3.11,61.64,Normal
20.94,108.2,2.44,62.56,Normal
20.4,109.17,2.71,45.72,Normal
25.54,106.78,4.37,62.37,Normal
22.81,96.05,1.88,57.69,Normal
23.13,104.9,1.33,62.97,Normal
29.8,100.7,4.45,62.69,Normal
27.47,91.03,3.87,45.53,Normal
21.75,94.25,2.03,49.97,Normal
24.67,97.97,2.26,46.16,Normal
22.26,100.32,1.18,66.49,Normal
27.19,103.71,1.13,48.5,Normal
24.14,90.42,1.98,44.61,Normal
20.56,93.66,2.67,57.55,Normal
20.18,100.44,3.96,66.35,Normal
24.48,94.82,2.61,45.64,Normal
23.3,100.89,4.24,59.62,Normal
27.59,97.99,2.12,49.61,Normal
21.34,97.73,2.0,64.04,Normal
23.25,94.01,1.5,46.76,Normal
25.69,96.38,1.31,41.73,Normal
25.7,94.74,2.26,62.63,Normal
29.02,109.81,3.77,42.65,Normal
28.98,107.04,4.48,49.92,Normal
21.15,103.53,2.31,48.12,Normal
23.87,102.78,1.81,69.24,Normal
20.95,97.78,2.38,67.95,Normal
21.79,96.43,2.37,69.26,Normal
78.5,159.62,19.43,109.02,Novel/Unusual
27.26,94.93,2.09,45.53,Normal
22.07,100.06,2.86,51.71,Normal
21.44,97.71,2.7,59.69,Normal
21.93,91.2,2.15,54.75,Normal
23.92,104.94,3.48,52.97,Normal
28.58,92.44,2.29,45.58,Normal
29.59,103.18,1.24,40.81,Normal
82.83,178.19,22.78,124.9,Novel/Unusual
20.22,93.35,2.35,42.94,Normal
20.42,107.08,2.83,55.17,Normal
28.13,107.71,1.96,64.66,Normal
22.0,91.24,4.81,51.52,Normal
25.72,95.15,3.35,59.48,Normal
28.52,96.42,1.88,42.35,Normal
29.38,95.79,3.53,49.29,Normal
24.04,104.1,2.85,40.37,Normal
24.42,92.37,3.92,54.18,Normal
24.12,94.5,1.6,52.97,Normal
29.16,109.42,2.42,69.6,Normal
26.32,94.15,4.81,41.09,Normal
29.92,108.44,3.57,41.72,Normal
22.16,94.91,4.79,48.3,Normal
25.07,108.06,1.68,66.38,Normal
28.37,99.27,2.72,49.26,Normal
21.64,99.38,3.66,68.34,Normal
27.77,98.15,1.65,53.18,Normal
22.27,96.85,1.98,43.25,Normal
20.45,101.04,3.12,44.24,Normal
28.68,93.85,4.72,41.42,Normal
28.74,96.92,2.57,48.34,Normal
29.99,101.42,1.4,45.17,Normal
26.83,99.48,2.81,68.07,Normal
23.79,98.18,3.7,53.17,Normal
21.09,92.77,2.3,42.53,Normal
23.74,98.45,3.34,41.7,Normal
29.03,96.06,4.8,40.03,Normal
25.4,93.95,2.35,65.51,Normal
20.01,104.73,4.45,42.6,Normal
20.64,93.27,3.9,56.71,Normal
21.45,99.8,2.51,61.3,Normal
23.28,97.95,2.66,61.32,Normal
27.46,90.99,4.43,60.28,Normal
22.99,95.29,2.05,64.3,Normal
82.93,197.46,20.94,117.24,Novel/Unusual
29.37,97.07,2.45,51.39,Normal
28.57,109.52,3.09,56.29,Normal
27.5,91.62,1.58,58.59,Normal
28.67,108.6,4.76,68.13,Normal
28.91,109.99,2.57,63.7,Normal
21.35,92.15,4.75,57.96,Normal
24.61,95.68,1.9,46.77,Normal
28.15,105.66,2.97,67.14,Normal
29.6,92.57,4.73,53.37,Normal
23.43,98.24,2.78,63.86,Normal
88.73,170.93,28.65,132.59,Novel/Unusual
27.43,94.57,3.11,59.42,Normal
78.71,198.72,22.46,118.6,Novel/Unusual
28.05,98.76,4.7,42.65,Normal
22.95,95.26,1.66,44.95,Normal
26.59,97.8,2.9,43.32,Normal
22.0,102.47,3.9,47.32,Normal
25.15,92.24,2.79,62.27,Normal
25.55,109.06,3.64,52.31,Normal
28.42,100.81,4.9,50.39,Normal
26.82,109.87,1.07,58.69,Normal
88.83,160.18,28.0,107.25,Novel/Unusual
22.65,94.56,4.15,46.65,Normal
21.73,103.46,1.43,49.91,Normal
79.37,168.34,25.57,147.22,Novel/Unusual
24.09,108.61,4.39,68.32,Normal
22.49,103.59,1.57,41.29,Normal
26.53,91.01,4.29,65.12,Normal
23.19,99.63,3.06,47.47,Normal
29.25,105.01,2.54,67.2,Normal
24.67,99.3,2.41,48.24,Normal
70.6,180.19,20.62,103.45,Novel/Unusual
25.05,96.04,2.48,52.63,Normal
76.2,163.88,27.15,147.95,Novel/Unusual
26.58,90.77,3.25,44.39,Normal
21.06,94.17,1.1,48.02,Normal
24.76,91.0,3.41,68.24,Normal
81.71,166.21,19.57,104.52,Novel/Unusual
21.58,96.61,4.48,44.17,Normal
25.08,109.44,3.09,49.34,Normal
78.39,162.87,23.17,107.91,Novel/Unusual
21.78,102.21,1.9,66.5,Normal
22.83,108.88,1.13,48.77,Normal
27.96,96.15,4.38,58.01,Normal
21.53,98.33,4.6,62.49,Normal
22.12,103.5,4.53,41.82,Normal
21.05,106.59,1.29,65.57,Normal
25.04,108.98,4.57,49.87,Normal
95.23,173.35,21.46,107.17,Novel/Unusual
26.11,93.39,1.01,62.14,Normal
23.41,95.47,4.78,64.65,Normal
90.57,181.01,24.91,121.6,Novel/Unusual
22.3,102.39,3.02,62.86,Normal
22.52,95.01,1.74,67.84,Normal
21.4,105.95,2.81,47.35,Normal
23.17,94.03,3.13,46.31,Normal
88.24,176.16,24.12,116.18,Novel/Unusual
22.28,109.73,4.71,40.12,Normal
22.02,102.2,2.15,69.09,Normal
20.25,99.29,2.36,50.12,Normal
27.52,94.92,2.8,44.63,Normal
29.69,92.77,3.6,67.4,Normal
20.36,108.95,1.27,57.84,Normal
29.11,96.88,4.68,44.21,Normal
22.6,108.36,4.97,48.61,Normal
21.78,105.64,4.09,49.86,Normal
22.54,108.9,4.2,43.19,Normal
29.98,106.2,4.0,43.29,Normal
26.27,98.0,2.49,45.5,Normal
26.65,93.05,4.88,69.91,Normal
28.96,96.72,1.06,57.82,Normal
21.11,96.08,2.94,54.67,Normal
22.45,93.54,3.35,59.59,Normal
26.78,90.01,4.97,44.55,Normal
25.9,98.6,2.85,60.44,Normal
24.08,103.78,4.06,56.28,Normal
20.47,109.6,2.58,58.45,Normal
21.28,99.81,4.21,62.43,Normal
21.73,109.45,1.92,52.51,Normal
21.3,96.83,2.9,40.73,Normal
27.1,109.38,1.94,47.68,Normal
28.96,92.8,3.0,57.12,Normal
22.48,104.21,4.2,62.83,Normal
